clean_name,cluster,xgbprob,xgbverdict,lmscore
DRIP_HeLa_Chedin_S9.6_SRX3581346,1,0.9798110127449036,1,110.7029198265906
DRIP_U2OS_Capranico_S9.6_SRX4231163,1,0.9798110127449036,1,92.1873678860943
DRIP_U2OS_Capranico_S9.6_SRX4231164,1,0.9798110127449036,1,92.5218443242075
DRIP_U2OS_Capranico_S9.6_SRX4231165,1,0.9798110127449036,1,91.9487513866266
DRIP_U2OS_Capranico_S9.6_SRX4231166,1,0.9798110127449036,1,96.32353209384297
DRIP_U2OS_Capranico_S9.6_SRX4231167,1,0.9798110127449036,1,92.39858335765234
DRIP_U2OS_Capranico_S9.6_SRX4231168,1,0.9798110127449036,1,99.30095785448363
DRIP_B-Cell_Cheung_S9.6_SRX4457337,0,0.029942603781819344,0,-28.828436996407135
DRIP_iPSCs_Ruzov_S9.6_SRX4671914,0,0.029942603781819344,0,-10.886485563433347
DRIP_iPSCs_Ruzov_S9.6_SRX4671915,0,0.029942603781819344,0,-16.558381942458112
DRIP_iPSCs_Ruzov_RNaseH1_SRX4671916,0,0.029942603781819344,0,-36.0672748037319
DRIP_iPSCs_Ruzov_RNaseH1_SRX4671917,0,0.029942603781819344,0,-33.82717502345873
DRIP_U2OS_Liu_S9.6_SRX5129661,0,0.04814460501074791,0,39.195129496259014
DRIP_U2OS_Liu_S9.6_SRX5129663,0,0.04814460501074791,0,34.37403223231749
DRIP_U2OS_Liu_S9.6_SRX5129665,0,0.029942603781819344,0,34.88115944661367
DRIP_Fibroblast_Chedin_S9.6_SRX534094,1,0.9798110127449036,1,108.20119896003759
DRIP_Fibroblast_Chedin_S9.6_SRX534095,1,0.9798110127449036,1,119.34769565141004
DRIP_Fibroblast_Chedin_S9.6_SRX534096,0,0.08882414549589157,0,27.068936495381923
DRIP_Fibroblast_Chedin_S9.6_SRX534097,1,0.9798110127449036,1,123.2130013132869
DRIP_Fibroblast_Chedin_S9.6_SRX534098,1,0.9798110127449036,1,75.04499261139952
DRIP_Fibroblast_Chedin_S9.6_SRX534099,1,0.9798110127449036,1,124.30640404572031
DRIP_Fibroblast_Chedin_S9.6_SRX534100,1,0.9798110127449036,1,114.22107055980786
DRIP_Fibroblast_Chedin_S9.6_SRX550078,1,0.9219526052474976,1,101.78594789453707
DRIP_U2OS_Liu_S9.6_SRX5696400,0,0.04814460501074791,0,39.196048348701765
DRIP_U2OS_Liu_S9.6_SRX5696402,0,0.04814460501074791,0,34.37435423276119
DRIP_U2OS_Liu_S9.6_SRX5696404,0,0.029942603781819344,0,34.8809021591274
sDRIP_PATC53_Chedin_S9.6_SRX5729069,1,0.9798110127449036,1,83.55918628499322
sDRIP_PATC53_Chedin_S9.6_SRX5729070,1,0.9798110127449036,1,82.443284008502
sDRIP_PATC53_Chedin_S9.6_SRX5729071,1,0.9798110127449036,1,82.2834019273928
sDRIP_PATC53_Chedin_S9.6_SRX5729072,1,0.9798110127449036,1,85.51875119362616
sDRIP_PATC53_Chedin_S9.6_SRX5729073,1,0.9798110127449036,1,84.47222674142492
sDRIP_PATC53_Chedin_S9.6_SRX5729074,1,0.9798110127449036,1,82.7980206252826
sDRIP_PATC53_Chedin_S9.6_SRX5729075,1,0.9798110127449036,1,80.40486449630903
sDRIP_PATC53_Chedin_S9.6_SRX5729076,1,0.9798110127449036,1,76.93111352189274
DRIPc_NT2_Chedin_S9.6_SRX5849996,1,0.9798110127449036,1,70.8300545414017
qDRIP_HeLa_Cimprich_S9.6_SRX6427713,1,0.9798110127449036,1,82.44172228394171
qDRIP_HeLa_Cimprich_S9.6_SRX6427714,1,0.9798110127449036,1,71.44433146924953
qDRIP_HeLa_Cimprich_RNaseH1_SRX6427715,0,0.4172169864177704,0,56.814053253187026
qDRIP_HeLa_Cimprich_S9.6_SRX6427717,1,0.9798110127449036,1,81.02463898077474
qDRIP_HeLa_Cimprich_S9.6_SRX6427718,1,0.9798110127449036,1,79.13069018819185
qDRIP_HeLa_Cimprich_S9.6_SRX6427720,1,0.9798110127449036,1,75.28209784956702
qDRIP_HeLa_Cimprich_S9.6_SRX6427721,1,0.9798110127449036,1,73.8462651734737
qDRIP_HeLa_Cimprich_RNaseH1_SRX6427722,0,0.06427969038486481,0,25.50562692659354
DRIP_U87_Chedin_S9.6_SRX6651643,1,0.9798110127449036,1,96.92824957788979
DRIP_U87_Chedin_S9.6_SRX6651644,1,0.9798110127449036,1,98.84788370547983
DRIP_U87_Chedin_S9.6_SRX6651645,1,0.9798110127449036,1,92.43485263089966
DRIP_U87_Chedin_S9.6_SRX6651646,1,0.9798110127449036,1,93.95973888388328
DRIPc_K562_Aguilera_S9.6_SRX6686232,0,0.029942603781819344,0,13.610512373106365
DRIPc_K562_Aguilera_S9.6_SRX6686233,0,0.029942603781819344,0,18.826259527952978
DRIPc_K562_Aguilera_S9.6_SRX6686234,0,0.029942603781819344,0,13.364242852405518
